sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,cu_pct,mo_pct,au_gt
CA-C01-001-A0001,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,0.000000000,2.000000000,2.000000000,0.022786030,0.000000000,0.000000000
CA-C01-001-A0002,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,2.000000000,4.000000000,2.000000000,0.025696753,0.000000000,0.000000000
CA-C01-001-A0003,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,4.000000000,6.000000000,2.000000000,0.026571077,0.000000000,0.000000000
CA-C01-001-A0004,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,6.000000000,8.000000000,2.000000000,0.029188130,0.000000000,0.000000000
CA-C01-001-A0005,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,8.000000000,10.000000000,2.000000000,0.026057441,0.000000000,0.000000000
CA-C01-001-A0006,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,10.000000000,12.000000000,2.000000000,0.026521168,0.000000000,0.000000000
CA-C01-001-A0007,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,12.000000000,14.000000000,2.000000000,0.027344884,0.000000000,0.000000000
CA-C01-001-A0008,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,14.000000000,16.000000000,2.000000000,0.024973977,0.000000000,0.000000000
CA-C01-001-A0009,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,16.000000000,18.000000000,2.000000000,0.025569837,0.000000000,0.000000000
CA-C01-001-A0010,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,18.000000000,20.000000000,2.000000000,0.021411287,0.000000000,0.000000000
CA-C01-001-A0011,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,20.000000000,22.000000000,2.000000000,0.025304153,0.000000000,0.000000000
CA-C01-001-A0012,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,22.000000000,24.000000000,2.000000000,0.024649449,0.000000000,0.000000000
CA-C01-001-A0013,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,24.000000000,26.000000000,2.000000000,0.028028715,0.000000000,0.000000000
CA-C01-001-A0014,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,26.000000000,28.000000000,2.000000000,0.023755722,0.000000000,0.000000000
CA-C01-001-A0015,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,28.000000000,30.000000000,2.000000000,0.026111803,0.000000000,0.000000000
CA-C01-001-A0016,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,30.000000000,32.000000000,2.000000000,0.026148011,0.000000000,0.000000000
CA-C01-001-A0017,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,32.000000000,34.000000000,2.000000000,0.025666145,0.000000000,0.000000000
CA-C01-001-A0018,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,34.000000000,36.000000000,2.000000000,0.024218802,0.000000000,0.000000000
CA-C01-001-A0019,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,36.000000000,38.000000000,2.000000000,0.024252529,0.000000000,0.000000000
CA-C01-001-A0020,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,38.000000000,40.000000000,2.000000000,0.028393094,0.000000000,0.000000000
CA-C01-001-A0021,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,40.000000000,42.000000000,2.000000000,0.025166683,0.000000000,0.000000000
CA-C01-001-A0022,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,42.000000000,44.000000000,2.000000000,0.027027081,0.000000000,0.000000000
