hole_id,dataset_id,project_id,campaign_id,x,y,z,azimuth_deg,dip_deg,final_depth_m
CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,242263.825802219,8196269.272147303,3312.000000000,63.814074832,-83.681340117,189.880122860
CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,242418.373934425,8196227.861100088,3316.000000000,35.854458041,-85.000000000,193.416106179
CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,242572.922066632,8196186.450052871,3388.000000000,354.145541960,-85.000000000,265.142124442
CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,242727.470198838,8196145.039005655,3440.000000000,326.185925166,-85.000000000,317.354675262
CA-C01-005,DS01,cerro_azul,CAMPAIGN_01,242300.060468533,8196404.501762984,3270.000000000,88.739795292,-83.013295463,180.000000000
CA-C01-006,DS01,cerro_azul,CAMPAIGN_01,242454.608600740,8196363.090715768,3308.000000000,63.814074832,-85.000000000,184.930496860
CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,242609.156732946,8196321.679668551,3372.000000000,326.185925170,-85.000000000,248.686957538
CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,242763.704865152,8196280.268621335,3438.000000000,301.260204709,-85.000000000,315.062015269
CA-C01-009,DS01,cerro_azul,CAMPAIGN_01,242336.295134848,8196539.731378665,3254.000000000,121.260204709,-81.730038413,180.000000000
CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,242490.843267054,8196498.320331449,3298.000000000,146.185925170,-85.000000000,180.000000000
CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,242645.391399260,8196456.909284232,3346.000000000,243.814074832,-85.000000000,222.785895387
CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,242799.939531467,8196415.498237016,3452.000000000,268.739795292,-85.000000000,329.008741042
CA-C01-013,DS01,cerro_azul,CAMPAIGN_01,242372.529801162,8196674.960994345,3244.000000000,146.185925166,-78.150894112,180.000000000
CA-C01-014,DS01,cerro_azul,CAMPAIGN_01,242527.077933368,8196633.549947129,3292.000000000,174.145541960,-84.822355757,180.000000000
CA-C01-015,DS01,cerro_azul,CAMPAIGN_01,242681.626065575,8196592.138899912,3328.000000000,215.854458041,-85.000000000,205.370442556
CA-C01-016,DS01,cerro_azul,CAMPAIGN_01,242836.174197781,8196550.727852697,3402.000000000,243.814074832,-85.000000000,279.499276734
CA-C02-001,DS01,cerro_azul,CAMPAIGN_02,242451.419818604,8196389.827051876,3298.000000000,78.434948823,-70.796231798,180.000000000
CA-C02-002,DS01,cerro_azul,CAMPAIGN_02,242538.353142970,8196366.533337817,3338.000000000,15.000000000,-83.207069218,211.201818039
CA-C02-003,DS01,cerro_azul,CAMPAIGN_02,242625.286467336,8196343.239623758,3368.000000000,311.565051177,-77.243187898,245.061728511
CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,242712.219791702,8196319.945909698,3408.000000000,299.036243468,-70.817876741,294.108367631
CA-C02-005,DS01,cerro_azul,CAMPAIGN_02,242474.713532664,8196476.760376242,3294.000000000,131.565051177,-70.233183080,180.000000000
CA-C02-006,DS01,cerro_azul,CAMPAIGN_02,242561.646857030,8196453.466662183,3318.000000000,195.000000000,-82.311552230,191.360703289
CA-C02-007,DS01,cerro_azul,CAMPAIGN_02,242648.580181396,8196430.172948124,3350.000000000,258.434948823,-76.028848015,227.548160482
CA-C02-008,DS01,cerro_azul,CAMPAIGN_02,242735.513505762,8196406.879234064,3394.000000000,270.963756532,-69.723876404,280.929579961
CA-C02-009,DS01,cerro_azul,CAMPAIGN_02,242498.007246723,8196563.693700608,3294.000000000,161.309932474,-59.909269494,185.625590127
CA-C02-010,DS01,cerro_azul,CAMPAIGN_02,242584.940571089,8196540.399986549,3314.000000000,195.000000000,-67.408006036,198.134634094
CA-C02-011,DS01,cerro_azul,CAMPAIGN_02,242671.873895455,8196517.106272490,3344.000000000,228.690067526,-67.469211611,230.543466170
CA-C02-012,DS01,cerro_azul,CAMPAIGN_02,242758.807219821,8196493.812558430,3390.000000000,248.130102354,-65.483168409,283.999103482
CA-C03-001,DS01,cerro_azul,CAMPAIGN_03,242450.000000000,8196410.000000000,3294.000000000,90.000000000,-58.000000000,186.897197576
CA-C03-002,DS01,cerro_azul,CAMPAIGN_03,242650.000000000,8196410.000000000,3348.000000000,270.000000000,-64.722277764,234.060292374
CA-C03-003,DS01,cerro_azul,CAMPAIGN_03,242550.000000000,8196320.000000000,3356.000000000,0.000000000,-67.857860251,237.968593630
CA-C03-004,DS01,cerro_azul,CAMPAIGN_03,242550.000000000,8196500.000000000,3310.000000000,180.000000000,-61.687214887,196.295536206
