density_sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,density_t_m3
CA-C01-001-D0001,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,17.823019317,18.823019317,1.000000000,2.681864661
CA-C01-001-D0002,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,42.823019317,43.823019317,1.000000000,2.718497603
CA-C01-001-D0003,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,67.823019317,68.823019317,1.000000000,2.699500723
CA-C01-001-D0004,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,92.823019317,93.823019317,1.000000000,2.749148149
CA-C01-001-D0005,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,117.823019317,118.823019317,1.000000000,2.711381290
CA-C01-001-D0006,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,142.823019317,143.823019317,1.000000000,2.695813558
CA-C01-001-D0007,CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,167.823019317,168.823019317,1.000000000,2.686465715
CA-C01-002-D0001,CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,10.257982517,11.257982517,1.000000000,2.689549434
CA-C01-002-D0002,CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,35.257982517,36.257982517,1.000000000,2.696867303
CA-C01-002-D0003,CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,60.257982517,61.257982517,1.000000000,2.668867948
CA-C01-002-D0004,CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,85.257982517,86.257982517,1.000000000,2.734672233
CA-C01-002-D0005,CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,110.257982517,111.257982517,1.000000000,2.693874501
CA-C01-002-D0006,CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,135.257982517,136.257982517,1.000000000,2.717850384
CA-C01-002-D0007,CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,160.257982517,161.257982517,1.000000000,2.703140507
CA-C01-002-D0008,CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,185.257982517,186.257982517,1.000000000,2.682411161
CA-C01-003-D0001,CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,10.848726423,11.848726423,1.000000000,2.708664294
CA-C01-003-D0002,CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,35.848726423,36.848726423,1.000000000,2.694516300
CA-C01-003-D0003,CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,60.848726423,61.848726423,1.000000000,2.700634727
CA-C01-003-D0004,CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,85.848726423,86.848726423,1.000000000,2.699319160
CA-C01-003-D0005,CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,110.848726423,111.848726423,1.000000000,2.712325964
CA-C01-003-D0006,CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,135.848726423,136.848726423,1.000000000,2.699013209
CA-C01-003-D0007,CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,160.848726423,161.848726423,1.000000000,2.683210116
CA-C01-003-D0008,CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,185.848726423,186.848726423,1.000000000,2.690187941
CA-C01-003-D0009,CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,210.848726423,211.848726423,1.000000000,2.703204066
CA-C01-003-D0010,CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,235.848726423,236.848726423,1.000000000,2.674574580
CA-C01-003-D0011,CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,260.848726423,261.848726423,1.000000000,2.711907868
CA-C01-004-D0001,CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,3.295988220,4.295988220,1.000000000,2.271837673
CA-C01-004-D0002,CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,28.295988220,29.295988220,1.000000000,2.710467268
CA-C01-004-D0003,CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,53.295988220,54.295988220,1.000000000,2.697744734
CA-C01-004-D0004,CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,78.295988220,79.295988220,1.000000000,2.669962663
CA-C01-004-D0005,CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,103.295988220,104.295988220,1.000000000,2.686133440
CA-C01-004-D0006,CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,128.295988220,129.295988220,1.000000000,2.721440296
CA-C01-004-D0007,CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,153.295988220,154.295988220,1.000000000,2.674429094
CA-C01-004-D0008,CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,178.295988220,179.295988220,1.000000000,2.691820033
CA-C01-004-D0009,CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,203.295988220,204.295988220,1.000000000,2.699805417
CA-C01-004-D0010,CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,228.295988220,229.295988220,1.000000000,2.711599756
CA-C01-004-D0011,CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,253.295988220,254.295988220,1.000000000,2.667176271
CA-C01-004-D0012,CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,278.295988220,279.295988220,1.000000000,2.748030691
CA-C01-004-D0013,CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,303.295988220,304.295988220,1.000000000,2.728865505
CA-C01-005-D0001,CA-C01-005,DS01,cerro_azul,CAMPAIGN_01,5.145845863,6.145845863,1.000000000,2.288571804
CA-C01-005-D0002,CA-C01-005,DS01,cerro_azul,CAMPAIGN_01,30.145845863,31.145845863,1.000000000,2.682381839
CA-C01-005-D0003,CA-C01-005,DS01,cerro_azul,CAMPAIGN_01,55.145845863,56.145845863,1.000000000,2.658248042
CA-C01-005-D0004,CA-C01-005,DS01,cerro_azul,CAMPAIGN_01,80.145845863,81.145845863,1.000000000,2.686311760
CA-C01-005-D0005,CA-C01-005,DS01,cerro_azul,CAMPAIGN_01,105.145845863,106.145845863,1.000000000,2.689119733
CA-C01-005-D0006,CA-C01-005,DS01,cerro_azul,CAMPAIGN_01,130.145845863,131.145845863,1.000000000,2.704011711
CA-C01-005-D0007,CA-C01-005,DS01,cerro_azul,CAMPAIGN_01,155.145845863,156.145845863,1.000000000,2.709201466
CA-C01-006-D0001,CA-C01-006,DS01,cerro_azul,CAMPAIGN_01,22.992539457,23.992539457,1.000000000,2.637496835
CA-C01-006-D0002,CA-C01-006,DS01,cerro_azul,CAMPAIGN_01,47.992539457,48.992539457,1.000000000,2.657996517
CA-C01-006-D0003,CA-C01-006,DS01,cerro_azul,CAMPAIGN_01,72.992539457,73.992539457,1.000000000,2.656453348
CA-C01-006-D0004,CA-C01-006,DS01,cerro_azul,CAMPAIGN_01,97.992539457,98.992539457,1.000000000,2.613511436
CA-C01-006-D0005,CA-C01-006,DS01,cerro_azul,CAMPAIGN_01,122.992539457,123.992539457,1.000000000,2.635061225
CA-C01-006-D0006,CA-C01-006,DS01,cerro_azul,CAMPAIGN_01,147.992539457,148.992539457,1.000000000,2.687143468
CA-C01-006-D0007,CA-C01-006,DS01,cerro_azul,CAMPAIGN_01,172.992539457,173.992539457,1.000000000,2.640310748
CA-C01-007-D0001,CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,7.284037472,8.284037472,1.000000000,2.687756388
CA-C01-007-D0002,CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,32.284037472,33.284037472,1.000000000,2.660904078
CA-C01-007-D0003,CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,57.284037472,58.284037472,1.000000000,2.603298955
CA-C01-007-D0004,CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,82.284037472,83.284037472,1.000000000,2.626200509
CA-C01-007-D0005,CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,107.284037472,108.284037472,1.000000000,2.633283355
CA-C01-007-D0006,CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,132.284037472,133.284037472,1.000000000,2.655165930
CA-C01-007-D0007,CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,157.284037472,158.284037472,1.000000000,2.594604795
CA-C01-007-D0008,CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,182.284037472,183.284037472,1.000000000,2.637196842
CA-C01-007-D0009,CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,207.284037472,208.284037472,1.000000000,2.670240533
CA-C01-007-D0010,CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,232.284037472,233.284037472,1.000000000,2.637036490
CA-C01-008-D0001,CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,7.901204059,8.901204059,1.000000000,2.609843432
