hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,lith_code
CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-001,DS01,cerro_azul,CAMPAIGN_01,6.000000000,189.880122860,183.880122860,DIO
CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-002,DS01,cerro_azul,CAMPAIGN_01,6.000000000,193.416106179,187.416106179,DIO
CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-003,DS01,cerro_azul,CAMPAIGN_01,6.000000000,265.142124442,259.142124442,DIO
CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-004,DS01,cerro_azul,CAMPAIGN_01,6.000000000,317.354675262,311.354675262,DIO
CA-C01-005,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-005,DS01,cerro_azul,CAMPAIGN_01,6.000000000,180.000000000,174.000000000,DIO
CA-C01-006,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-006,DS01,cerro_azul,CAMPAIGN_01,6.000000000,184.930496860,178.930496860,POR
CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,6.000000000,53.000000000,47.000000000,DIO
CA-C01-007,DS01,cerro_azul,CAMPAIGN_01,53.000000000,248.686957538,195.686957538,POR
CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,6.000000000,7.000000000,1.000000000,DIO
CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,7.000000000,8.000000000,1.000000000,REG
CA-C01-008,DS01,cerro_azul,CAMPAIGN_01,8.000000000,315.062015269,307.062015269,DIO
CA-C01-009,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-009,DS01,cerro_azul,CAMPAIGN_01,6.000000000,180.000000000,174.000000000,DIO
CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-010,DS01,cerro_azul,CAMPAIGN_01,6.000000000,180.000000000,174.000000000,POR
CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,6.000000000,28.000000000,22.000000000,DIO
CA-C01-011,DS01,cerro_azul,CAMPAIGN_01,28.000000000,222.785895387,194.785895387,POR
CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-012,DS01,cerro_azul,CAMPAIGN_01,6.000000000,329.008741042,323.008741042,DIO
CA-C01-013,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-013,DS01,cerro_azul,CAMPAIGN_01,6.000000000,180.000000000,174.000000000,DIO
CA-C01-014,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-014,DS01,cerro_azul,CAMPAIGN_01,6.000000000,180.000000000,174.000000000,DIO
CA-C01-015,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-015,DS01,cerro_azul,CAMPAIGN_01,6.000000000,205.370442556,199.370442556,DIO
CA-C01-016,DS01,cerro_azul,CAMPAIGN_01,0.000000000,6.000000000,6.000000000,REG
CA-C01-016,DS01,cerro_azul,CAMPAIGN_01,6.000000000,279.499276734,273.499276734,DIO
CA-C02-001,DS01,cerro_azul,CAMPAIGN_02,0.000000000,6.000000000,6.000000000,REG
CA-C02-001,DS01,cerro_azul,CAMPAIGN_02,6.000000000,146.000000000,140.000000000,POR
CA-C02-001,DS01,cerro_azul,CAMPAIGN_02,146.000000000,164.000000000,18.000000000,BRX
CA-C02-001,DS01,cerro_azul,CAMPAIGN_02,164.000000000,180.000000000,16.000000000,POR
CA-C02-002,DS01,cerro_azul,CAMPAIGN_02,0.000000000,6.000000000,6.000000000,REG
CA-C02-002,DS01,cerro_azul,CAMPAIGN_02,6.000000000,131.000000000,125.000000000,POR
CA-C02-002,DS01,cerro_azul,CAMPAIGN_02,131.000000000,211.201818039,80.201818039,BRX
CA-C02-003,DS01,cerro_azul,CAMPAIGN_02,0.000000000,6.000000000,6.000000000,REG
CA-C02-003,DS01,cerro_azul,CAMPAIGN_02,6.000000000,41.000000000,35.000000000,DIO
CA-C02-003,DS01,cerro_azul,CAMPAIGN_02,41.000000000,245.061728511,204.061728511,POR
CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,0.000000000,6.000000000,6.000000000,REG
CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,6.000000000,7.000000000,1.000000000,DIO
CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,7.000000000,8.000000000,1.000000000,REG
CA-C02-004,DS01,cerro_azul,CAMPAIGN_02,8.000000000,125.000000000,117.000000000,DIO
